id_offshore,geometry,composite_date,label,structure_id,latest_flag,composite_datetime_utc,composite_month_utc,longitude,latitude
5175,POINT (1.986711 59.544944),1641000000000,oil,60554,Y,2022-01-01 00:00:00,2022-01,1.986711,59.544944
5230,POINT (11.154032 56.666013),1641000000000,wind,99460,Y,2022-01-01 00:00:00,2022-01,11.154032,56.666013
5260,POINT (11.161917 56.697142),1641000000000,wind,211860,Y,2022-01-01 00:00:00,2022-01,11.161917,56.697142
5264,POINT (2.010329 60.505813),1596240000000,oil,49456,Y,2020-08-01 00:00:00,2020-08,2.010329,60.505813
5287,POINT (2.070322 56.820452),1561940000000,oil,527887,Y,2019-07-01 00:00:00,2019-07,2.070322,56.820452
5294,POINT (6.768023 63.885536),1641000000000,possible_oil,512877,Y,2022-01-01 00:00:00,2022-01,6.768023,63.885536
5309,POINT (2.076589 54.059017),1641000000000,oil,528974,Y,2022-01-01 00:00:00,2022-01,2.076589,54.059017
5365,POINT (2.231954 61.4957),1638320000000,oil,293184,Y,2021-12-01 00:00:00,2021-12,2.231954,61.4957
5387,POINT (5.451233 60.060284),1641000000000,unknown,374359,Y,2022-01-01 00:00:00,2022-01,5.451233,60.060284
5400,POINT (5.83798 59.068036),1641000000000,unknown,368339,Y,2022-01-01 00:00:00,2022-01,5.83798,59.068036
5417,POINT (6.058104 60.250815),1641000000000,unknown,315831,Y,2022-01-01 00:00:00,2022-01,6.058104,60.250815
5427,POINT (6.133981 62.613407),1641000000000,unknown,153279,Y,2022-01-01 00:00:00,2022-01,6.133981,62.613407
5431,POINT (6.22811 62.623625),1604190000000,unknown,525268,Y,2020-11-01 00:00:00,2020-11,6.22811,62.623625
5492,POINT (4.57213 54.944553),1622510000000,oil,62044,Y,2021-06-01 00:00:00,2021-06,4.57213,54.944553
5526,POINT (4.883367 55.639658),1633050000000,oil,146731,Y,2021-10-01 00:00:00,2021-10,4.883367,55.639658
5558,POINT (5.13361 55.468898),1641000000000,oil,128420,Y,2022-01-01 00:00:00,2022-01,5.13361,55.468898
5565,POINT (5.134461 55.557227),1641000000000,oil,494876,Y,2022-01-01 00:00:00,2022-01,5.134461,55.557227
5585,POINT (12.784651 55.519739),1641000000000,wind,180815,Y,2022-01-01 00:00:00,2022-01,12.784651,55.519739
5592,POINT (12.784886 55.515687),1641000000000,wind,187430,Y,2022-01-01 00:00:00,2022-01,12.784886,55.515687
5607,POINT (12.788552 55.52234),1641000000000,wind,329300,Y,2022-01-01 00:00:00,2022-01,12.788552,55.52234
5653,POINT (2.273805 61.214376),1641000000000,oil,512749,Y,2022-01-01 00:00:00,2022-01,2.273805,61.214376
5655,POINT (2.289087 54.568252),1512090000000,oil,379820,Y,2017-12-01 00:00:00,2017-12,2.289087,54.568252
5674,POINT (2.384833 59.454666),1588290000000,oil,217932,Y,2020-05-01 00:00:00,2020-05,2.384833,59.454666
5702,POINT (2.517767 58.869174),1506820000000,oil,542099,Y,2017-10-01 00:00:00,2017-10,2.517767,58.869174
5711,POINT (2.61823 54.315825),1641000000000,oil,543975,Y,2022-01-01 00:00:00,2022-01,2.61823,54.315825
5712,POINT (2.648144 60.855381),1538350000000,oil,160021,Y,2018-10-01 00:00:00,2018-10,2.648144,60.855381
5785,POINT (11.166955 56.640151),1641000000000,wind,36210,Y,2022-01-01 00:00:00,2022-01,11.166955,56.640151
5807,POINT (2.943021 53.823312),1641000000000,oil,266206,Y,2022-01-01 00:00:00,2022-01,2.943021,53.823312
5876,POINT (11.180112 56.601596),1641000000000,wind,271616,Y,2022-01-01 00:00:00,2022-01,11.180112,56.601596
5932,POINT (3.447577 60.799079),1583020000000,oil,229142,Y,2020-03-01 00:00:00,2020-03,3.447577,60.799079
5972,POINT (3.571522 60.830767),1488330000000,oil,542457,Y,2017-03-01 00:00:00,2017-03,3.571522,60.830767
5976,POINT (3.653269 60.894577),1638320000000,oil,313178,Y,2021-12-01 00:00:00,2021-12,3.653269,60.894577
5990,POINT (3.664168 61.275613),1641000000000,oil,207237,Y,2022-01-01 00:00:00,2022-01,3.664168,61.275613
6002,POINT (3.832554 55.104898),1641000000000,oil,271562,Y,2022-01-01 00:00:00,2022-01,3.832554,55.104898
6014,POINT (3.928833 54.120325),1561940000000,oil,524143,Y,2019-07-01 00:00:00,2019-07,3.928833,54.120325
6107,POINT (-0.056459 53.816901),1619830000000,probable_oil,148885,Y,2021-05-01 00:00:00,2021-05,-0.056459,53.816901
6113,POINT (0.132946 53.804487),1641000000000,probable_wind,492016,Y,2022-01-01 00:00:00,2022-01,0.132946,53.804487
6129,POINT (1.458956 53.876044),1641000000000,probable_wind,487548,Y,2022-01-01 00:00:00,2022-01,1.458956,53.876044
6149,POINT (12.793459 55.513116),1641000000000,wind,531829,Y,2022-01-01 00:00:00,2022-01,12.793459,55.513116
6174,POINT (2.060369 59.874683),1641000000000,probable_wind,195125,Y,2022-01-01 00:00:00,2022-01,2.060369,59.874683
6199,POINT (0.089347 53.811916),1641000000000,wind,500326,Y,2022-01-01 00:00:00,2022-01,0.089347,53.811916
6204,POINT (6.025991 54.05339),1641000000000,wind,215163,Y,2022-01-01 00:00:00,2022-01,6.025991,54.05339
6255,POINT (12.801615 55.518606),1641000000000,wind,215671,Y,2022-01-01 00:00:00,2022-01,12.801615,55.518606
6368,POINT (6.041238 54.036808),1575160000000,wind,545232,Y,2019-12-01 00:00:00,2019-12,6.041238,54.036808
6437,POINT (0.151155 53.796024),1641000000000,wind,206015,Y,2022-01-01 00:00:00,2022-01,0.151155,53.796024
6444,POINT (6.047011 54.016875),1641000000000,wind,32905,Y,2022-01-01 00:00:00,2022-01,6.047011,54.016875
6506,POINT (17.004634 57.009184),1641000000000,wind,149426,Y,2022-01-01 00:00:00,2022-01,17.004634,57.009184
6522,POINT (7.355406 65.369235),1496280000000,oil,356742,Y,2017-06-01 00:00:00,2017-06,7.355406,65.369235
6609,POINT (6.051916 54.054727),1641000000000,wind,301644,Y,2022-01-01 00:00:00,2022-01,6.051916,54.054727
6616,POINT (17.006332 56.994653),1641000000000,wind,315346,Y,2022-01-01 00:00:00,2022-01,17.006332,56.994653
6651,POINT (17.009279 56.988369),1641000000000,wind,525215,Y,2022-01-01 00:00:00,2022-01,17.009279,56.988369
6684,POINT (17.018939 56.980282),1641000000000,wind,426467,Y,2022-01-01 00:00:00,2022-01,17.018939,56.980282
6798,POINT (6.063908 54.056952),1641000000000,wind,56535,Y,2022-01-01 00:00:00,2022-01,6.063908,54.056952
6886,POINT (6.073478 54.01715),1641000000000,wind,324343,Y,2022-01-01 00:00:00,2022-01,6.073478,54.01715
6890,POINT (1.447944 54.007335),1641000000000,wind,518670,Y,2022-01-01 00:00:00,2022-01,1.447944,54.007335
6907,POINT (1.457405 53.838058),1641000000000,wind,161444,Y,2022-01-01 00:00:00,2022-01,1.457405,53.838058
6974,POINT (1.502477 54.001235),1641000000000,wind,388540,Y,2022-01-01 00:00:00,2022-01,1.502477,54.001235
7026,POINT (1.569996 53.837643),1641000000000,wind,183199,Y,2022-01-01 00:00:00,2022-01,1.569996,53.837643
7039,POINT (1.574043 53.936251),1641000000000,wind,401996,Y,2022-01-01 00:00:00,2022-01,1.574043,53.936251
7080,POINT (1.605988 53.846169),1641000000000,wind,124085,Y,2022-01-01 00:00:00,2022-01,1.605988,53.846169
7088,POINT (10.362538 56.964238),1641000000000,unknown,538394,Y,2022-01-01 00:00:00,2022-01,10.362538,56.964238
7118,POINT (6.346059 54.540979),1641000000000,wind,63049,Y,2022-01-01 00:00:00,2022-01,6.346059,54.540979
7127,POINT (10.425417 56.954734),1641000000000,unknown,487562,Y,2022-01-01 00:00:00,2022-01,10.425417,56.954734
7262,POINT (6.379335 54.534841),1641000000000,wind,182548,Y,2022-01-01 00:00:00,2022-01,6.379335,54.534841
7286,POINT (6.093933 54.004517),1641000000000,wind,96735,Y,2022-01-01 00:00:00,2022-01,6.093933,54.004517
7351,POINT (6.418591 54.035847),1641000000000,wind,270999,Y,2022-01-01 00:00:00,2022-01,6.418591,54.035847
7490,POINT (11.761912 57.675884),1630450000000,unknown,270561,Y,2021-09-01 00:00:00,2021-09,11.761912,57.675884
7517,POINT (1.698774 53.971076),1641000000000,wind,362840,Y,2022-01-01 00:00:00,2022-01,1.698774,53.971076
7537,POINT (12.069212 65.848743),1625100000000,unknown,498842,Y,2021-07-01 00:00:00,2021-07,12.069212,65.848743
7560,POINT (15.124395 68.487647),1633050000000,unknown,43488,Y,2021-10-01 00:00:00,2021-10,15.124395,68.487647
7659,POINT (7.833054 55.498642),1641000000000,wind,121281,Y,2022-01-01 00:00:00,2022-01,7.833054,55.498642
7673,POINT (7.836748 55.483689),1641000000000,wind,83117,Y,2022-01-01 00:00:00,2022-01,7.836748,55.483689
7720,POINT (6.800376 55.279924),1641000000000,wind,221337,Y,2022-01-01 00:00:00,2022-01,6.800376,55.279924
7742,POINT (6.81011 55.25338),1641000000000,wind,227766,Y,2022-01-01 00:00:00,2022-01,6.81011,55.25338
7806,POINT (1.732364 53.895339),1641000000000,wind,517423,Y,2022-01-01 00:00:00,2022-01,1.732364,53.895339
7880,POINT (6.365373 54.41346),1641000000000,wind,389597,Y,2022-01-01 00:00:00,2022-01,6.365373,54.41346
7903,POINT (6.830076 55.200667),1641000000000,wind,348797,Y,2022-01-01 00:00:00,2022-01,6.830076,55.200667
7937,POINT (1.745079 53.835332),1641000000000,wind,456807,Y,2022-01-01 00:00:00,2022-01,1.745079,53.835332
7992,POINT (7.84805 55.4738),1641000000000,wind,465625,Y,2022-01-01 00:00:00,2022-01,7.84805,55.4738
8063,POINT (1.758484 53.916952),1641000000000,wind,132200,Y,2022-01-01 00:00:00,2022-01,1.758484,53.916952
8112,POINT (6.370832 54.432589),1641000000000,wind,428180,Y,2022-01-01 00:00:00,2022-01,6.370832,54.432589
8145,POINT (1.776344 53.985261),1641000000000,wind,474430,Y,2022-01-01 00:00:00,2022-01,1.776344,53.985261
8327,POINT (6.842724 55.16567),1641000000000,wind,404142,Y,2022-01-01 00:00:00,2022-01,6.842724,55.16567
8337,POINT (6.376292 54.516531),1641000000000,wind,107726,Y,2022-01-01 00:00:00,2022-01,6.376292,54.516531
8348,POINT (6.843877 55.294215),1641000000000,wind,423288,Y,2022-01-01 00:00:00,2022-01,6.843877,55.294215
8364,POINT (6.376812 54.461722),1641000000000,wind,351402,Y,2022-01-01 00:00:00,2022-01,6.376812,54.461722
8388,POINT (1.827526 53.987823),1641000000000,wind,367784,Y,2022-01-01 00:00:00,2022-01,1.827526,53.987823
8411,POINT (1.828471 53.836578),1641000000000,wind,295105,Y,2022-01-01 00:00:00,2022-01,1.828471,53.836578
8477,POINT (6.380642 54.428921),1641000000000,wind,164789,Y,2022-01-01 00:00:00,2022-01,6.380642,54.428921
8719,POINT (5.901757 54.372539),1641000000000,wind,37805,Y,2022-01-01 00:00:00,2022-01,5.901757,54.372539
8746,POINT (5.909632 54.355031),1641000000000,wind,533925,Y,2022-01-01 00:00:00,2022-01,5.909632,54.355031
8783,POINT (5.909675 54.340516),1641000000000,wind,124019,Y,2022-01-01 00:00:00,2022-01,5.909675,54.340516
8819,POINT (5.909836 54.318519),1641000000000,wind,74502,Y,2022-01-01 00:00:00,2022-01,5.909836,54.318519
8914,POINT (6.857038 55.258949),1641000000000,wind,154433,Y,2022-01-01 00:00:00,2022-01,6.857038,55.258949
8952,POINT (6.865504 55.149569),1641000000000,wind,396497,Y,2022-01-01 00:00:00,2022-01,6.865504,55.149569
8967,POINT (6.867853 55.186758),1641000000000,wind,299037,Y,2022-01-01 00:00:00,2022-01,6.867853,55.186758
8975,POINT (6.868927 55.140806),1641000000000,wind,472139,Y,2022-01-01 00:00:00,2022-01,6.868927,55.140806
9086,POINT (7.640503 54.443953),1641000000000,wind,475448,Y,2022-01-01 00:00:00,2022-01,7.640503,54.443953
9122,POINT (7.778698 54.983705),1641000000000,wind,489896,Y,2022-01-01 00:00:00,2022-01,7.778698,54.983705
9178,POINT (5.939495 54.356431),1641000000000,wind,349296,Y,2022-01-01 00:00:00,2022-01,5.939495,54.356431
9207,POINT (5.939606 54.387387),1641000000000,wind,354728,Y,2022-01-01 00:00:00,2022-01,5.939606,54.387387
9234,POINT (5.952213 54.355549),1641000000000,wind,384652,Y,2022-01-01 00:00:00,2022-01,5.952213,54.355549
9245,POINT (5.952734 54.337209),1641000000000,wind,72319,Y,2022-01-01 00:00:00,2022-01,5.952734,54.337209
9269,POINT (5.959215 54.320726),1641000000000,wind,238865,Y,2022-01-01 00:00:00,2022-01,5.959215,54.320726
9289,POINT (5.962382 54.312525),1641000000000,wind,119120,Y,2022-01-01 00:00:00,2022-01,5.962382,54.312525
9330,POINT (7.788437 55.008116),1641000000000,wind,188015,Y,2022-01-01 00:00:00,2022-01,7.788437,55.008116
9354,POINT (7.789303 54.984858),1641000000000,wind,495391,Y,2022-01-01 00:00:00,2022-01,7.789303,54.984858
9489,POINT (5.975422 54.33007),1641000000000,wind,500328,Y,2022-01-01 00:00:00,2022-01,5.975422,54.33007
9495,POINT (5.97865 54.363647),1641000000000,wind,508586,Y,2022-01-01 00:00:00,2022-01,5.97865,54.363647
9578,POINT (7.799889 54.966785),1641000000000,wind,451847,Y,2022-01-01 00:00:00,2022-01,7.799889,54.966785
9618,POINT (7.799913 54.973823),1641000000000,wind,535680,Y,2022-01-01 00:00:00,2022-01,7.799913,54.973823
9682,POINT (5.991778 54.305699),1641000000000,wind,3332,Y,2022-01-01 00:00:00,2022-01,5.991778,54.305699
9696,POINT (7.8658 55.473977),1641000000000,wind,272135,Y,2022-01-01 00:00:00,2022-01,7.8658,55.473977
9763,POINT (7.874634 55.474054),1641000000000,wind,42244,Y,2022-01-01 00:00:00,2022-01,7.874634,55.474054
