"distance_port_min","distance_infra_min","phylum"
32.195865,2.504899,Arthropoda
3.064085,0.094232,Arthropoda
6.209610,0.050927,Arthropoda
20.203955,0.985086,Arthropoda
14.523790,0.004229,Arthropoda
7.275568,1.047728,Arthropoda
10.966022,0.316175,Arthropoda
6.376003,0.105562,Arthropoda
3.064085,0.094232,Arthropoda
14.793332,0.548300,Arthropoda
10.250924,0.002537,Arthropoda
14.293190,0.516474,Arthropoda
6.376003,0.105562,Arthropoda
29.623698,1.665587,Arthropoda
6.942415,1.416334,Arthropoda
10.152681,0.008695,Arthropoda
28.446115,2.032784,Arthropoda
14.474581,0.063777,Arthropoda
8.203911,0.929309,Arthropoda
26.875810,2.478936,Arthropoda
8.172462,0.040910,Arthropoda
27.676944,1.714012,Arthropoda
8.203911,0.929309,Arthropoda
14.844831,0.323059,Arthropoda
7.781515,0.009714,Arthropoda
34.502621,2.400970,Arthropoda
14.359449,0.645215,Arthropoda
9.864885,1.106722,Arthropoda
5.541429,0.007541,Arthropoda
29.212439,0.897678,Arthropoda
7.852926,0.276488,Arthropoda
8.746541,0.139474,Arthropoda
8.118521,0.085438,Arthropoda
15.717868,0.442046,Arthropoda
9.754972,0.089175,Arthropoda
7.393908,0.344883,Arthropoda
15.533692,0.376051,Arthropoda
9.572627,0.254673,Arthropoda
11.076870,0.110988,Arthropoda
5.290503,0.007598,Arthropoda
14.684124,0.575656,Arthropoda
29.625032,1.664766,Arthropoda
14.633722,0.003482,Arthropoda
6.058196,0.128101,Arthropoda
8.357365,0.046437,Arthropoda
14.140542,0.133128,Arthropoda
27.832713,2.385097,Arthropoda
7.997301,0.122356,Arthropoda
27.627474,1.722857,Arthropoda
6.931422,0.093203,Arthropoda
14.976619,0.273066,Arthropoda
14.616558,0.004259,Arthropoda
9.743757,0.079423,Arthropoda
7.628066,0.074595,Arthropoda
14.266986,0.486668,Arthropoda
9.231488,0.015057,Arthropoda
10.016532,1.221396,Arthropoda
11.076870,0.110988,Arthropoda
5.606332,0.171619,Arthropoda
17.022787,0.991929,Arthropoda
10.479346,0.042931,Arthropoda
28.464426,1.843750,Arthropoda
10.949298,0.403381,Arthropoda
7.637038,0.104411,Arthropoda
14.547423,0.079750,Arthropoda
8.222180,0.175211,Arthropoda
2.705031,0.080296,Arthropoda
30.483389,2.385752,Arthropoda
14.068331,0.400080,Arthropoda
8.607241,0.095299,Arthropoda
10.682997,0.056798,Arthropoda
6.450049,0.186873,Arthropoda
0.919026,0.099590,Arthropoda
25.913941,3.520277,Arthropoda
13.694904,0.007544,Arthropoda
9.432709,0.020043,Arthropoda
15.399475,0.236075,Arthropoda
10.151463,0.005141,Arthropoda
10.215155,0.057086,Arthropoda
10.263153,0.008181,Arthropoda
14.411398,0.103310,Arthropoda
26.810105,1.444421,Arthropoda
9.432709,0.020043,Arthropoda
3.631165,0.236363,Arthropoda
14.551505,0.710009,Arthropoda
4.412883,0.401632,Arthropoda
10.480349,0.045653,Arthropoda
13.085592,0.507961,Arthropoda
9.218805,0.014863,Arthropoda
8.360920,1.280749,Arthropoda
28.020991,1.175698,Arthropoda
28.333095,0.008956,Arthropoda
1.521733,0.171913,Arthropoda
16.290834,0.289028,Arthropoda
10.387369,0.107431,Arthropoda
14.291635,0.515100,Arthropoda
1.585967,0.211867,Arthropoda
27.341947,1.868232,Arthropoda
8.097316,0.052539,Arthropoda
2.519597,0.078931,Arthropoda
9.752945,0.095419,Arthropoda
13.094855,0.504953,Arthropoda
36.453044,2.246238,Arthropoda
0.728845,0.378062,Arthropoda
16.656873,1.619953,Arthropoda
7.303508,0.706363,Arthropoda
9.474536,0.009151,Arthropoda
25.928559,3.512952,Arthropoda
0.553270,0.346161,Arthropoda
9.397645,0.049066,Arthropoda
8.455545,0.008870,Arthropoda
9.432709,0.020043,Arthropoda
17.956825,1.354199,Arthropoda
16.681179,1.504590,Arthropoda
9.351106,0.002286,Arthropoda
15.688947,0.428905,Arthropoda
11.377600,0.177920,Arthropoda
28.422370,0.043379,Arthropoda
